<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.25	17:00:00	3334.823	3335.418	3324.727	3328.030	8533	0	160
2025.06.25	18:00:00	3328.016	3331.838	3326.180	3331.583	5435	0	160
2025.06.25	19:00:00	3331.544	3336.068	3330.347	3333.706	5551	0	160
2025.06.25	20:00:00	3333.745	3335.674	3331.379	3332.385	3867	0	160
2025.06.25	22:00:00	3335.125	3335.589	3331.264	3333.211	4281	0	160
2025.06.25	23:00:00	3333.253	3340.158	3332.814	3339.028	5093	0	160
2025.06.26	00:00:00	3338.987	3339.381	3332.103	3334.028	7387	0	160
2025.06.26	01:00:00	3334.065	3336.775	3329.181	3330.222	9595	0	160
2025.06.26	02:00:00	3330.183	3341.820	3329.209	3339.471	7022	0	160
2025.06.26	03:00:00	3339.481	3343.223	3336.423	3337.991	5994	0	160
2025.06.26	04:00:00	3338.026	3338.155	3333.335	3333.983	4678	0	160
2025.06.26	05:00:00	3333.965	3338.250	3332.364	3334.218	6292	0	160
2025.06.26	06:00:00	3334.155	3340.367	3330.967	3339.784	8491	0	160
2025.06.26	07:00:00	3339.755	3347.239	3339.662	3346.051	7453	0	160
2025.06.26	08:00:00	3346.066	3350.370	3344.448	3348.256	8135	0	160
2025.06.26	09:00:00	3348.217	3348.792	3338.680	3340.533	9021	0	160
2025.06.26	10:00:00	3340.535	3343.469	3337.838	3343.253	5582	0	160
2025.06.26	11:00:00	3343.258	3344.121	3331.469	3332.921	7921	0	160
2025.06.26	12:00:00	3332.937	3344.056	3321.590	3322.060	15612	0	160
2025.06.26	13:00:00	3322.116	3328.700	3309.947	3319.925	28319	0	160
2025.06.26	14:00:00	3319.891	3323.898	3311.896	3318.411	16555	0	160
2025.06.26	15:00:00	3318.436	3324.928	3318.436	3324.808	9308	0	160
2025.06.26	16:00:00	3324.881	3333.277	3323.729	3331.322	8120	0	160
2025.06.26	17:00:00	3331.329	3336.501	3331.145	3332.718	7360	0	160
2025.06.26	18:00:00	3332.690	3334.914	3331.275	3334.119	5643	0	160
2025.06.26	19:00:00	3334.155	3334.329	3328.265	3331.301	5614	0	160
2025.06.26	20:00:00	3331.407	3332.327	3327.804	3328.248	3340	0	160
2025.06.26	22:00:00	3325.601	3325.842	3318.774	3321.513	5059	0	160
2025.06.26	23:00:00	3321.555	3323.729	3316.229	3318.758	5056	0	160
2025.06.27	00:00:00	3318.767	3319.947	3313.226	3318.880	7797	0	160
2025.06.27	01:00:00	3318.771	3322.012	3314.872	3316.427	9843	0	160
2025.06.27	02:00:00	3316.498	3320.335	3308.511	3308.891	8934	0	160
2025.06.27	03:00:00	3308.798	3310.995	3292.557	3294.318	11826	0	160
2025.06.27	04:00:00	3294.364	3297.580	3291.048	3293.969	8594	0	160
2025.06.27	05:00:00	3294.008	3300.941	3289.244	3297.103	10501	0	160
2025.06.27	06:00:00	3297.354	3299.920	3286.871	3294.888	13541	0	160
2025.06.27	07:00:00	3294.938	3295.377	3283.394	3284.458	13141	0	160
2025.06.27	08:00:00	3284.502	3291.132	3281.778	3289.427	11467	0	160
2025.06.27	09:00:00	3289.327	3289.830	3282.072	3282.797	9799	0	160
2025.06.27	10:00:00	3282.819	3290.959	3279.692	3285.665	8375	0	160
2025.06.27	11:00:00	3285.713	3287.948	3276.009	3281.389	10549	0	160
2025.06.27	12:00:00	3281.358	3282.303	3269.409	3270.028	19699	0	160
2025.06.27	13:00:00	3270.060	3274.422	3255.821	3274.143	28381	0	160
2025.06.27	14:00:00	3274.231	3278.103	3263.580	3272.407	19640	0	160
2025.06.27	15:00:00	3272.445	3277.565	3270.922	3274.655	12481	0	160
2025.06.27	16:00:00	3274.574	3278.629	3273.360	3277.558	7613	0	160
2025.06.27	17:00:00	3277.598	3282.802	3272.700	3277.353	9134	0	160
2025.06.27	18:00:00	3277.402	3278.390	3270.464	3275.755	8352	0	160
2025.06.27	19:00:00	3275.766	3276.588	3268.340	3270.578	7041	0	160
